order_id,lens_type,current_stage,order_age_hours,sla_hours,inventory_available,qc_failures,store_location,rework_count,delay_reason,breached
ORD-2024-100049,Single Vision,Lens Cutting,10.5,24,1,0,Hyderabad,0,None,0
ORD-2024-100050,Single Vision,Lens Cutting,5.4,24,1,0,Delhi,0,None,0
ORD-2024-100051,Bifocal,Coating,17.0,48,1,0,Chennai,0,QC Failure,0
ORD-2024-100052,Bifocal,Shipped,53.0,48,0,0,Mumbai,0,None,1
ORD-2024-100053,Single Vision,Frame Fitting,15.2,18,1,2,Bangalore,0,Supplier Delay,0
ORD-2024-100054,Progressive,Lens Cutting,11.8,72,0,0,Hyderabad,0,Supplier Delay,0
ORD-2024-100055,Single Vision,Coating,14.5,24,1,0,Bangalore,0,None,0
ORD-2024-100056,Bifocal,Coating,57.6,48,1,2,Delhi,2,Logistics Delay,1
ORD-2024-100057,Single Vision,Packing,28.5,24,1,1,Hyderabad,0,None,0
ORD-2024-100058,Single Vision,Packing,14.9,18,1,0,Delhi,0,None,0
ORD-2024-100059,Single Vision,Frame Fitting,24.0,24,1,1,Pune,1,None,0
ORD-2024-100060,Progressive,Lens Cutting,39.9,72,1,1,Bangalore,0,QC Failure,0
ORD-2024-100061,Single Vision,Coating,13.2,18,1,0,Bangalore,0,QC Failure,0
ORD-2024-100062,Single Vision,Shipped,28.8,24,1,0,Bangalore,0,Logistics Delay,1
ORD-2024-100063,Single Vision,Frame Fitting,22.6,18,1,1,Kolkata,1,None,0
ORD-2024-100064,Progressive,Prescription Verified,35.9,96,0,1,Delhi,0,Machine Breakdown,0
ORD-2024-100065,Single Vision,Order Placed,0.6,24,1,0,Pune,0,Logistics Delay,0
ORD-2024-100066,Single Vision,Prescription Verified,9.4,24,1,0,Bangalore,0,None,0
ORD-2024-100067,Single Vision,Coating,25.3,30,1,3,Bangalore,1,QC Failure,1
ORD-2024-100068,Single Vision,Coating,2.4,24,1,0,Bangalore,0,None,0
ORD-2024-100069,Single Vision,Shipped,23.5,24,1,0,Pune,0,None,0
ORD-2024-100070,Single Vision,Prescription Verified,3.7,24,1,0,Bangalore,0,None,0
ORD-2024-100071,Progressive,Prescription Verified,23.5,72,1,2,Hyderabad,0,None,0
ORD-2024-100072,Progressive,Coating,22.2,72,0,0,Mumbai,0,Supplier Delay,1
ORD-2024-100073,Bifocal,Coating,41.7,48,0,1,Pune,0,None,0
ORD-2024-100074,Single Vision,Frame Fitting,13.1,18,1,0,Kolkata,0,Logistics Delay,0
ORD-2024-100075,Bifocal,Order Placed,14.4,36,1,1,Mumbai,1,QC Failure,0
ORD-2024-100076,Single Vision,Order Placed,0.6,24,1,0,Delhi,0,Supplier Delay,0
ORD-2024-100077,Bifocal,Coating,47.8,48,0,2,Hyderabad,2,Supplier Delay,1
ORD-2024-100078,Single Vision,Order Placed,4.1,24,1,0,Bangalore,0,None,0
ORD-2024-100079,Single Vision,Order Placed,3.8,24,0,0,Mumbai,1,Supplier Delay,0
ORD-2024-100080,Progressive,Packing,78.5,72,1,0,Chennai,0,Logistics Delay,1
ORD-2024-100081,Progressive,Lens Cutting,64.9,72,0,3,Chennai,2,Inventory Shortage,1
ORD-2024-100082,Single Vision,Prescription Verified,4.1,24,1,0,Mumbai,0,QC Failure,0
ORD-2024-100083,Single Vision,Frame Fitting,18.0,24,1,0,Pune,0,None,0
ORD-2024-100084,Progressive,Coating,48.7,72,0,0,Chennai,0,Logistics Delay,1
ORD-2024-100085,Single Vision,Lens Cutting,8.0,24,1,0,Mumbai,0,None,0
ORD-2024-100086,Single Vision,Order Placed,1.3,30,1,1,Chennai,2,Supplier Delay,0
ORD-2024-100087,Progressive,Frame Fitting,38.1,72,1,0,Hyderabad,0,None,0
ORD-2024-100088,Progressive,Prescription Verified,12.7,96,1,1,Kolkata,1,None,0
ORD-2024-100089,Bifocal,Packing,54.5,48,1,0,Bangalore,0,Logistics Delay,1
ORD-2024-100090,Single Vision,Lens Cutting,7.2,24,1,0,Mumbai,0,None,0
ORD-2024-100091,Single Vision,Lens Cutting,13.4,24,1,0,Pune,0,Logistics Delay,0
ORD-2024-100092,Bifocal,Quality Check,48.5,36,0,1,Chennai,0,Machine Breakdown,1
ORD-2024-100093,Single Vision,Frame Fitting,9.6,18,1,0,Pune,0,Logistics Delay,0
ORD-2024-100094,Bifocal,Frame Fitting,43.4,48,0,0,Chennai,0,Machine Breakdown,0
ORD-2024-100095,Single Vision,Frame Fitting,25.3,24,1,1,Mumbai,2,Logistics Delay,1
ORD-2024-100096,Single Vision,Packing,16.9,24,1,0,Delhi,0,Logistics Delay,0
ORD-2024-100097,Bifocal,Quality Check,65.2,48,0,0,Bangalore,1,None,1
ORD-2024-100098,Single Vision,Coating,11.2,24,0,0,Kolkata,0,None,0
ORD-2024-100099,Progressive,Packing,168.3,72,0,2,Pune,2,QC Failure,1
ORD-2024-100100,Single Vision,Coating,18.4,24,1,0,Chennai,0,Supplier Delay,0
ORD-2024-100101,Single Vision,Coating,10.2,24,1,0,Delhi,0,Machine Breakdown,0
ORD-2024-100102,Single Vision,Quality Check,15.7,24,1,0,Hyderabad,0,None,0
ORD-2024-100103,Single Vision,Quality Check,28.1,24,0,0,Hyderabad,0,None,0
ORD-2024-100104,Single Vision,Packing,33.2,24,1,1,Chennai,0,QC Failure,1
ORD-2024-100105,Bifocal,Order Placed,6.5,48,1,0,Bangalore,0,None,0
ORD-2024-100106,Bifocal,Shipped,93.8,48,0,1,Mumbai,0,Inventory Shortage,1
ORD-2024-100107,Bifocal,Coating,59.4,48,0,0,Mumbai,0,Inventory Shortage,1
ORD-2024-100108,Progressive,Frame Fitting,74.6,72,0,0,Mumbai,0,Inventory Shortage,1
ORD-2024-100109,Single Vision,Prescription Verified,11.2,24,0,0,Kolkata,0,Machine Breakdown,0
ORD-2024-100110,Single Vision,Lens Cutting,7.6,24,1,0,Kolkata,0,None,0
ORD-2024-100111,Single Vision,Packing,22.8,24,1,0,Mumbai,0,Inventory Shortage,0
ORD-2024-100112,Bifocal,Packing,58.6,48,1,2,Pune,0,None,0
ORD-2024-100113,Single Vision,Shipped,26.9,24,1,0,Delhi,0,None,0
ORD-2024-100114,Single Vision,Order Placed,0.7,24,1,0,Bangalore,0,Inventory Shortage,0
ORD-2024-100115,Bifocal,Quality Check,41.3,36,1,0,Kolkata,0,Supplier Delay,1
ORD-2024-100116,Single Vision,Quality Check,38.4,24,0,0,Bangalore,1,Supplier Delay,1
ORD-2024-100117,Progressive,Quality Check,120.8,72,0,1,Mumbai,1,Supplier Delay,1
ORD-2024-100118,Single Vision,Quality Check,26.0,24,1,0,Delhi,0,None,0
ORD-2024-100119,Single Vision,Coating,12.1,18,1,0,Delhi,0,None,0
ORD-2024-100120,Progressive,Order Placed,5.1,72,1,0,Kolkata,0,Logistics Delay,0
ORD-2024-100121,Single Vision,Lens Cutting,12.5,24,1,0,Delhi,0,None,0
ORD-2024-100122,Single Vision,Quality Check,15.3,24,1,0,Bangalore,0,None,0
ORD-2024-100123,Progressive,Quality Check,110.1,72,0,1,Bangalore,1,Machine Breakdown,1
ORD-2024-100124,Progressive,Lens Cutting,43.4,96,0,0,Mumbai,0,Supplier Delay,0
ORD-2024-100125,Bifocal,Packing,59.9,48,1,0,Chennai,0,Inventory Shortage,1
ORD-2024-100126,Bifocal,Prescription Verified,19.6,48,0,0,Kolkata,0,Inventory Shortage,0
ORD-2024-100127,Single Vision,Lens Cutting,7.7,18,1,0,Bangalore,0,None,0
ORD-2024-100128,Bifocal,Quality Check,62.1,48,0,1,Mumbai,1,QC Failure,1
ORD-2024-100129,Single Vision,Frame Fitting,22.0,24,1,0,Mumbai,0,None,0
ORD-2024-100130,Single Vision,Shipped,28.1,24,1,1,Kolkata,0,QC Failure,0
ORD-2024-100131,Bifocal,Lens Cutting,4.0,48,1,0,Bangalore,0,Logistics Delay,0
ORD-2024-100132,Bifocal,Coating,43.4,48,0,1,Kolkata,0,Machine Breakdown,0
ORD-2024-100133,Progressive,Lens Cutting,26.6,60,1,0,Chennai,0,QC Failure,0
ORD-2024-100134,Single Vision,Coating,5.9,18,1,0,Kolkata,0,None,0
ORD-2024-100135,Single Vision,Frame Fitting,21.0,24,0,0,Kolkata,0,Supplier Delay,0
ORD-2024-100136,Bifocal,Order Placed,6.0,48,0,0,Bangalore,0,Logistics Delay,0
ORD-2024-100137,Single Vision,Prescription Verified,6.4,24,1,0,Mumbai,0,Logistics Delay,0
ORD-2024-100138,Bifocal,Shipped,56.1,48,1,0,Bangalore,0,None,0
ORD-2024-100139,Single Vision,Lens Cutting,7.4,24,1,0,Bangalore,0,None,0
ORD-2024-100140,Single Vision,Coating,5.2,18,1,0,Bangalore,0,None,0
ORD-2024-100141,Progressive,Lens Cutting,105.0,96,0,0,Chennai,0,QC Failure,0
ORD-2024-100142,Bifocal,Frame Fitting,32.4,48,1,0,Bangalore,0,Inventory Shortage,0
ORD-2024-100143,Progressive,Lens Cutting,52.3,72,1,1,Mumbai,1,None,0
ORD-2024-100144,Single Vision,Packing,34.4,30,1,0,Mumbai,0,None,0
ORD-2024-100145,Single Vision,Lens Cutting,18.9,30,0,0,Chennai,0,Inventory Shortage,0
ORD-2024-100146,Progressive,Coating,48.8,72,1,0,Mumbai,1,None,0
ORD-2024-100147,Single Vision,Packing,31.3,18,0,0,Pune,0,Supplier Delay,1
ORD-2024-100148,Single Vision,Shipped,24.3,24,1,0,Kolkata,0,QC Failure,1
ORD-2024-100149,Bifocal,Frame Fitting,41.8,48,1,0,Hyderabad,0,Logistics Delay,0
ORD-2024-100150,Single Vision,Shipped,31.1,24,1,0,Chennai,0,None,0
ORD-2024-100151,Single Vision,Order Placed,0.7,24,1,0,Hyderabad,0,None,0
ORD-2024-100152,Single Vision,Lens Cutting,3.4,18,1,0,Kolkata,0,Supplier Delay,0
ORD-2024-100153,Bifocal,Order Placed,13.7,48,1,0,Chennai,0,None,0
ORD-2024-100154,Bifocal,Packing,39.3,36,1,0,Mumbai,0,None,0
ORD-2024-100155,Single Vision,Coating,9.5,24,1,0,Mumbai,0,QC Failure,0
ORD-2024-100156,Single Vision,Coating,11.8,24,1,0,Pune,0,None,0
ORD-2024-100157,Single Vision,Packing,31.2,24,1,1,Pune,0,Supplier Delay,1
ORD-2024-100158,Bifocal,Prescription Verified,11.4,48,0,0,Hyderabad,1,None,0
ORD-2024-100159,Progressive,Packing,58.2,72,1,1,Mumbai,0,Inventory Shortage,1
ORD-2024-100160,Single Vision,Frame Fitting,22.7,24,0,0,Kolkata,0,None,0
ORD-2024-100161,Single Vision,Lens Cutting,11.5,30,1,0,Hyderabad,0,None,0
ORD-2024-100162,Progressive,Quality Check,107.8,72,0,0,Bangalore,0,Supplier Delay,1
ORD-2024-100163,Bifocal,Frame Fitting,39.4,48,0,0,Bangalore,0,Inventory Shortage,0
ORD-2024-100164,Bifocal,Packing,100.8,48,0,2,Mumbai,0,Inventory Shortage,1
ORD-2024-100165,Single Vision,Coating,22.9,24,1,2,Pune,0,QC Failure,0
ORD-2024-100166,Bifocal,Frame Fitting,26.1,48,1,0,Kolkata,0,None,0
ORD-2024-100167,Bifocal,Frame Fitting,58.9,48,1,1,Delhi,1,Inventory Shortage,1
ORD-2024-100168,Bifocal,Coating,24.6,48,1,0,Pune,0,None,0
ORD-2024-100169,Single Vision,Frame Fitting,7.7,18,1,0,Pune,0,Machine Breakdown,0
ORD-2024-100170,Single Vision,Packing,28.7,24,1,0,Chennai,0,None,0
ORD-2024-100171,Single Vision,Shipped,15.1,18,1,0,Delhi,0,None,0
ORD-2024-100172,Single Vision,Quality Check,17.5,18,1,0,Mumbai,0,None,0
ORD-2024-100173,Bifocal,Shipped,93.6,48,0,0,Mumbai,0,Supplier Delay,1
ORD-2024-100174,Progressive,Order Placed,22.7,72,0,2,Delhi,1,Machine Breakdown,1
ORD-2024-100175,Single Vision,Lens Cutting,14.4,30,0,0,Chennai,0,None,0
ORD-2024-100176,Single Vision,Frame Fitting,21.3,24,1,0,Mumbai,0,None,0
ORD-2024-100177,Single Vision,Order Placed,0.9,24,1,3,Chennai,2,QC Failure,1
ORD-2024-100178,Bifocal,Frame Fitting,29.2,36,1,0,Pune,0,None,0
ORD-2024-100179,Bifocal,Quality Check,61.3,48,1,0,Hyderabad,0,None,0
ORD-2024-100180,Bifocal,Order Placed,1.1,48,1,0,Hyderabad,0,None,0
ORD-2024-100181,Single Vision,Lens Cutting,7.9,24,1,0,Hyderabad,0,None,0
ORD-2024-100182,Bifocal,Coating,31.7,48,1,0,Kolkata,0,None,0
ORD-2024-100183,Progressive,Coating,24.9,72,1,0,Mumbai,0,QC Failure,0
ORD-2024-100184,Progressive,Order Placed,1.7,72,1,0,Hyderabad,0,QC Failure,0
ORD-2024-100185,Single Vision,Order Placed,0.7,24,1,0,Chennai,1,Inventory Shortage,0
ORD-2024-100186,Bifocal,Packing,50.4,60,0,0,Hyderabad,0,None,0
ORD-2024-100187,Single Vision,Order Placed,5.5,24,1,0,Hyderabad,0,QC Failure,0
ORD-2024-100188,Bifocal,Packing,67.1,48,1,1,Mumbai,1,Machine Breakdown,1
ORD-2024-100189,Single Vision,Quality Check,16.2,24,1,0,Chennai,0,None,0
ORD-2024-100190,Bifocal,Order Placed,1.4,48,1,0,Mumbai,0,Supplier Delay,0
ORD-2024-100191,Bifocal,Order Placed,2.5,48,1,2,Delhi,1,None,0
ORD-2024-100192,Bifocal,Shipped,120.0,48,1,3,Mumbai,1,Machine Breakdown,1
ORD-2024-100193,Progressive,Lens Cutting,55.2,72,0,0,Delhi,0,Supplier Delay,1
ORD-2024-100194,Single Vision,Lens Cutting,7.0,24,1,2,Bangalore,1,None,0
ORD-2024-100195,Single Vision,Shipped,22.2,24,1,0,Kolkata,0,None,0
ORD-2024-100196,Single Vision,Quality Check,30.1,30,1,1,Pune,0,QC Failure,0
ORD-2024-100197,Progressive,Shipped,155.0,72,0,2,Delhi,1,Inventory Shortage,1
ORD-2024-100198,Bifocal,Packing,70.9,48,0,0,Hyderabad,0,Inventory Shortage,1
ORD-2024-100199,Progressive,Shipped,119.1,72,1,2,Pune,1,QC Failure,1
ORD-2024-100200,Bifocal,Prescription Verified,14.5,48,1,0,Chennai,0,None,0
ORD-2024-100201,Bifocal,Prescription Verified,12.1,36,0,0,Chennai,0,Inventory Shortage,0
ORD-2024-100202,Single Vision,Order Placed,0.5,24,1,0,Delhi,0,Logistics Delay,0
ORD-2024-100203,Bifocal,Order Placed,7.9,48,1,0,Bangalore,0,None,0
ORD-2024-100204,Single Vision,Frame Fitting,5.6,24,1,0,Kolkata,0,Logistics Delay,0
ORD-2024-100205,Single Vision,Quality Check,39.0,24,0,1,Mumbai,1,Inventory Shortage,1
ORD-2024-100206,Single Vision,Order Placed,0.5,24,1,0,Hyderabad,0,None,0
ORD-2024-100207,Single Vision,Prescription Verified,5.2,24,1,0,Mumbai,0,None,0
ORD-2024-100208,Single Vision,Quality Check,42.0,30,1,0,Bangalore,0,Inventory Shortage,1
ORD-2024-100209,Progressive,Prescription Verified,22.2,72,0,0,Mumbai,0,Supplier Delay,0
ORD-2024-100210,Single Vision,Order Placed,4.4,24,1,0,Mumbai,0,Machine Breakdown,0
ORD-2024-100211,Single Vision,Lens Cutting,4.4,24,1,0,Hyderabad,0,None,0
ORD-2024-100212,Progressive,Order Placed,2.0,72,1,0,Mumbai,0,Machine Breakdown,0
ORD-2024-100213,Bifocal,Coating,39.6,48,0,0,Bangalore,0,None,1
ORD-2024-100214,Single Vision,Packing,21.0,24,1,0,Chennai,0,None,0
ORD-2024-100215,Single Vision,Shipped,37.1,24,0,0,Hyderabad,0,Inventory Shortage,1
ORD-2024-100216,Single Vision,Coating,15.8,24,1,0,Mumbai,0,Logistics Delay,0
ORD-2024-100217,Single Vision,Prescription Verified,5.9,24,1,0,Bangalore,0,None,0
ORD-2024-100218,Single Vision,Lens Cutting,6.6,24,1,1,Kolkata,1,None,0
ORD-2024-100219,Bifocal,Quality Check,19.4,48,1,0,Delhi,0,None,0
ORD-2024-100220,Single Vision,Packing,26.9,24,0,1,Bangalore,1,None,1
ORD-2024-100221,Single Vision,Prescription Verified,10.9,24,1,1,Kolkata,2,Logistics Delay,0
ORD-2024-100222,Single Vision,Quality Check,20.0,24,1,0,Mumbai,0,Machine Breakdown,0
ORD-2024-100223,Progressive,Lens Cutting,30.1,72,1,1,Hyderabad,1,None,0
ORD-2024-100224,Single Vision,Shipped,54.1,24,0,0,Delhi,0,Supplier Delay,1
ORD-2024-100225,Bifocal,Lens Cutting,15.5,48,1,0,Chennai,0,None,0
ORD-2024-100226,Single Vision,Lens Cutting,21.9,24,0,0,Pune,0,Inventory Shortage,1
ORD-2024-100227,Progressive,Coating,41.3,96,0,0,Pune,0,None,0
ORD-2024-100228,Single Vision,Shipped,40.0,24,1,0,Bangalore,0,Machine Breakdown,1
ORD-2024-100229,Single Vision,Lens Cutting,6.6,18,1,0,Delhi,0,Machine Breakdown,0
ORD-2024-100230,Single Vision,Order Placed,5.1,24,1,2,Mumbai,0,QC Failure,0
ORD-2024-100231,Single Vision,Prescription Verified,3.4,24,1,1,Pune,1,Logistics Delay,0
ORD-2024-100232,Single Vision,Prescription Verified,7.5,24,1,0,Chennai,1,None,0
ORD-2024-100233,Bifocal,Frame Fitting,60.5,48,1,2,Delhi,2,QC Failure,1
ORD-2024-100234,Bifocal,Packing,42.7,36,1,0,Mumbai,0,Logistics Delay,1
ORD-2024-100235,Progressive,Prescription Verified,2.5,72,0,1,Delhi,0,None,0
ORD-2024-100236,Bifocal,Frame Fitting,28.4,60,0,1,Bangalore,0,QC Failure,0
ORD-2024-100237,Single Vision,Packing,37.3,24,1,1,Mumbai,0,QC Failure,1
ORD-2024-100238,Bifocal,Lens Cutting,10.7,48,1,0,Delhi,0,None,0
ORD-2024-100239,Single Vision,Lens Cutting,17.0,24,1,0,Chennai,1,Inventory Shortage,0
ORD-2024-100240,Bifocal,Lens Cutting,26.6,48,1,3,Mumbai,0,QC Failure,0
ORD-2024-100241,Single Vision,Lens Cutting,9.4,24,1,0,Delhi,0,None,0
ORD-2024-100242,Single Vision,Order Placed,5.5,30,1,0,Mumbai,0,None,0
ORD-2024-100243,Single Vision,Packing,32.2,24,0,0,Hyderabad,0,Logistics Delay,1
ORD-2024-100244,Bifocal,Order Placed,10.9,48,1,0,Delhi,0,Logistics Delay,0
ORD-2024-100245,Progressive,Coating,66.1,72,1,1,Bangalore,2,Supplier Delay,1
ORD-2024-100246,Bifocal,Lens Cutting,17.1,48,0,0,Hyderabad,0,Machine Breakdown,0
ORD-2024-100247,Single Vision,Frame Fitting,29.5,24,1,0,Chennai,1,Machine Breakdown,1
ORD-2024-100248,Single Vision,Quality Check,24.7,24,1,0,Chennai,0,Logistics Delay,1
ORD-2024-100249,Progressive,Coating,113.8,72,0,0,Chennai,0,Supplier Delay,1
ORD-2024-100250,Progressive,Order Placed,1.7,72,1,0,Delhi,0,None,0
ORD-2024-100251,Single Vision,Prescription Verified,4.4,24,1,1,Bangalore,1,QC Failure,0
ORD-2024-100252,Bifocal,Lens Cutting,27.8,48,0,1,Mumbai,0,Machine Breakdown,0
ORD-2024-100253,Progressive,Coating,65.7,60,0,0,Bangalore,0,QC Failure,1
ORD-2024-100254,Single Vision,Quality Check,22.8,24,1,0,Bangalore,0,None,0
ORD-2024-100255,Single Vision,Shipped,30.2,24,1,0,Bangalore,0,None,0
ORD-2024-100256,Single Vision,Shipped,32.6,24,1,0,Mumbai,0,None,0
ORD-2024-100257,Bifocal,Quality Check,33.8,48,1,0,Pune,0,None,0
ORD-2024-100258,Single Vision,Frame Fitting,19.5,18,1,0,Mumbai,0,None,0
ORD-2024-100259,Single Vision,Frame Fitting,31.8,24,0,0,Chennai,0,Supplier Delay,1
ORD-2024-100260,Progressive,Order Placed,20.4,60,1,1,Delhi,2,None,0
ORD-2024-100261,Bifocal,Packing,75.8,48,1,3,Mumbai,1,Inventory Shortage,1
ORD-2024-100262,Single Vision,Quality Check,26.2,24,1,0,Chennai,0,Inventory Shortage,0
ORD-2024-100263,Bifocal,Frame Fitting,58.4,48,0,0,Chennai,0,Supplier Delay,1
ORD-2024-100264,Single Vision,Quality Check,34.1,24,0,0,Pune,0,Inventory Shortage,1
ORD-2024-100265,Single Vision,Prescription Verified,4.0,24,1,0,Mumbai,0,None,0
ORD-2024-100266,Bifocal,Quality Check,50.7,48,0,0,Pune,0,None,1
ORD-2024-100267,Single Vision,Frame Fitting,14.9,24,1,0,Mumbai,0,Machine Breakdown,0
ORD-2024-100268,Single Vision,Lens Cutting,10.6,24,1,1,Bangalore,0,QC Failure,0
ORD-2024-100269,Progressive,Shipped,180.0,72,0,2,Pune,0,Inventory Shortage,0
ORD-2024-100270,Single Vision,Prescription Verified,9.8,24,1,0,Delhi,0,Supplier Delay,0
ORD-2024-100271,Bifocal,Order Placed,7.1,48,0,0,Chennai,0,Inventory Shortage,1
ORD-2024-100272,Bifocal,Coating,32.9,48,1,0,Chennai,1,Logistics Delay,1
ORD-2024-100273,Progressive,Quality Check,91.5,72,0,0,Pune,0,Inventory Shortage,1
ORD-2024-100274,Bifocal,Quality Check,54.4,48,1,0,Chennai,0,Supplier Delay,0
ORD-2024-100275,Progressive,Packing,125.5,72,0,1,Bangalore,1,QC Failure,1
ORD-2024-100276,Single Vision,Shipped,20.8,24,1,0,Mumbai,0,None,0
ORD-2024-100277,Progressive,Prescription Verified,37.5,60,0,1,Hyderabad,0,QC Failure,0
ORD-2024-100278,Progressive,Coating,42.7,72,0,0,Kolkata,0,None,0
ORD-2024-100279,Single Vision,Prescription Verified,5.7,24,1,0,Mumbai,1,Machine Breakdown,0
ORD-2024-100280,Single Vision,Prescription Verified,5.8,24,1,0,Mumbai,0,None,0
ORD-2024-100281,Progressive,Coating,37.3,72,1,0,Bangalore,0,None,0
ORD-2024-100282,Single Vision,Coating,18.7,24,1,0,Bangalore,0,None,0
ORD-2024-100283,Bifocal,Frame Fitting,64.3,36,0,3,Mumbai,2,Inventory Shortage,1
ORD-2024-100284,Single Vision,Packing,22.9,18,1,0,Mumbai,0,Machine Breakdown,1
ORD-2024-100285,Bifocal,Quality Check,47.0,48,1,0,Delhi,0,Inventory Shortage,0
ORD-2024-100286,Single Vision,Lens Cutting,23.4,24,0,2,Pune,1,None,1
ORD-2024-100287,Bifocal,Prescription Verified,2.7,36,0,0,Chennai,0,Machine Breakdown,0
ORD-2024-100288,Bifocal,Prescription Verified,1.7,48,1,0,Chennai,0,None,0
ORD-2024-100289,Single Vision,Prescription Verified,3.1,24,1,0,Chennai,0,Logistics Delay,0
ORD-2024-100290,Single Vision,Frame Fitting,13.2,24,1,1,Mumbai,0,Inventory Shortage,0
ORD-2024-100291,Single Vision,Order Placed,0.5,24,1,0,Mumbai,0,None,0
ORD-2024-100292,Bifocal,Lens Cutting,35.1,48,0,0,Chennai,1,Supplier Delay,0
ORD-2024-100293,Single Vision,Quality Check,41.8,24,0,0,Kolkata,0,Inventory Shortage,1
ORD-2024-100294,Bifocal,Shipped,63.5,48,1,1,Mumbai,1,QC Failure,1
